视野宽阔能穿越丛林,,,,,,,,,,0,,,,
人们忘掉了WIFI,,,,,,,,,,0,,,,
呼吸远离了雾霾,,,,,,,,,,0,,,,
躺在床上看云彩,,,,,,,,,,0,,,,
订房电话打给Tan,,,,,,,,,,0,,,,
就这么独特 哈哈,,,,,,,,,,0,,,,
如果没有hiphop我就是橡皮人吧,,,,,,,,,,0,,,,
起早贪黑除了挣点钱花还能干啥,,,,,,,,,,0,,,,
you xx with me嘿呀 呀,,,,,,,,,,1,,,,
这样下去不行嘿呀 呀 呀,,,,,,,,,,0,,,,
好浪费这一条命,,,,,,,,,,0,,,,
如果没有hiphop我就是橡皮人吧,,,,,,,,,,0,,,,
起早贪黑除了省点钱花还能干啥,,,,,,,,,,0,,,,
you xx with me嘿呀 呀,,,,,,,,,,1,,,,
这样下去不行嘿呀 呀 呀,,,,,,,,,,0,,,,
好浪费这一条命,,,,,,,,,,0,,,,
酒肉朋友又凑在一堆,,,,,,,,,,0,,,,
社会像一把AK,,,,,,,,,,1,,,,
扫得你已经没路可退只敢喝醉,,,,,,,,,,1,,,,
变成了一根根橡皮人在拉扯,,,,,,,,,,0,,,,
一根根老板们付了钱拉扯的好橡皮不顽皮,,,,,,,,,,0,,,,
然后把那绝望射进了下一代基因里,,,,,,,,,,1,,,,
坐在那沙发上泡在福尔马琳玩手机,,,,,,,,,,0,,,,
电击你水浇你橡皮肤都不会有一点反应,,,,,,,,,,0,,,,
橡皮人opnening eyes,,,,,,,,,,0,,,,
人们扎堆,,,,,,,,,,0,,,,
跪舔money吧,,,,,,,,,,1,,,,
一开口就是车子房子心里没热泪,,,,,,,,,,0,,,,
永远狼狈麻木给生活擦擦背,,,,,,,,,,0,,,,
打破了那规则我选择逃离了没危险的生活,,,,,,,,,,0,,,,
我情愿待在那录音棚开始录歌对着我的麦克,,,,,,,,,,0,,,,
才不做橡皮人每天都靠自己大脑做对的抉择,,,,,,,,,,0,,,,
如果没有hiphop我就是橡皮人吧,,,,,,,,,,0,,,,
起早贪黑除了挣点钱花还能干啥,,,,,,,,,,0,,,,
you xx with me 嘿呀 呀,,,,,,,,,,1,,,,
这样下去不行 嘿呀 呀 呀 呀,,,,,,,,,,0,,,,
好浪费这一条命,,,,,,,,,,0,,,,
如果没有hiphop我就是橡皮人吧,,,,,,,,,,0,,,,
起早贪黑除了省点钱花还能干啥,,,,,,,,,,0,,,,
you xx with me嘿呀 呀,,,,,,,,,,1,,,,
这样下去不行嘿呀 呀 呀 呀,,,,,,,,,,0,,,,
让那些绑架我的理由全部都见鬼吧,,,,,,,,,,0,,,,
撕掉橡皮过把瘾再装聋作哑,,,,,,,,,,0,,,,
鹰学会飞翔前被啄断翅膀,,,,,,,,,,0,,,,
再扔下悬崖,,,,,,,,,,0,,,,
感觉到真实的痛觉在胸口拼命挣扎,,,,,,,,,,0,,,,
我们是涅槃凤凰,,,,,,,,,,0,,,,
疯狂追逐前方那坚毅的目光,,,,,,,,,,0,,,,
谁要学我们变狂,,,,,,,,,,0,,,,
那你就要将那大山往肩上扛,,,,,,,,,,0,,,,
撕掉橡皮和大众标签,,,,,,,,,,0,,,,
去你妈的我们就这样,,,,,,,,,,1,,,,
半路上总会有受伤的英雄,,,,,,,,,,0,,,,
大不了再次登场,,,,,,,,,,0,,,,
如果没有hiphop我就是橡皮人吧,,,,,,,,,,0,,,,
起早贪黑除了省点钱花还能干啥,,,,,,,,,,0,,,,
you xx with me嘿呀 呀,,,,,,,,,,1,,,,
这样下去不行嘿呀 呀 呀,,,,,,,,,,0,,,,
好浪费这一条命,,,,,,,,,,0,,,,
如果没有hiphop我就是橡皮人吧,,,,,,,,,,0,,,,
起早贪黑除了省点钱花还能干啥,,,,,,,,,,0,,,,
Mix by 狠毒男孩,,,,,,,,,,0,,,,
封面 by Siro Zeng,,,,,,,,,,0,,,,
经济舱很拥挤,,,,,,,,,,0,,,,
委内瑞拉和我开采油井,,,,,,,,,,0,,,,
合伙人来自东京,,,,,,,,,,0,,,,
住在神社他叫yoji,,,,,,,,,,0,,,,
香槟庆功开了几瓶 more drinks going,,,,,,,,,,0,,,,
旁边都是我的homie,,,,,,,,,,0,,,,
不用炸掉房子我们每晚chilling,,,,,,,,,,0,,,,
同父异母管他叫做robin,,,,,,,,,,0,,,,
多面体真的很累,,,,,,,,,,0,,,,
总有小人在我背后设陷又在talking shit,,,,,,,,,,1,,,,
