别管别人看你什么眼色演着什么角色,,,,,,,,,,0,
因为这就是你独有的颜色,,,,,,,,,,0,
时光拼凑再浸透保持着这股劲头,,,,,,,,,,0,
管生活再紧凑也要在雨里行舟,,,,,,,,,,0,
总要兑现在天桥底下夸下的海口,,,,,,,,,,0,
一起画过版图的文艺楼,,,,,,,,,,0,
要说声谢谢你曾借过我的笔,,,,,,,,,,0,
帮我改过的题缝了边的大衣,,,,,,,,,,0,
还要说声对不起都没能还给你,,,,,,,,,,0,
笔记一直没整理,,,,,,,,,,0,
缝纫机也不会修理,,,,,,,,,,0,
导出时间重播曾经的自己,,,,,,,,,,0,
却想忘记失去曾经的经历,,,,,,,,,,0,
不愿意任由强制行为把它束缚,,,,,,,,,,0,
口述的话题像是军刀割向虚无,,,,,,,,,,0,
内心里贪婪渴望尘封变换出处,,,,,,,,,,0,
吵架拌嘴来成为习惯提升粗鲁,,,,,,,,,,0,
举止间透露自私固执演变剧毒,,,,,,,,,,0,
撕破脸留下最后一道防线禁锢,,,,,,,,,,0,
迟到的抱歉 凌晨的五点 空洞的双眼 尴尬的见面,,,,,,,,,,0,
零下的气温 幽暗的路灯 拥抱的过程 惊醒的空梦,,,,,,,,,,0,
选择习惯性的口渴喝下加点冰的可乐,,,,,,,,,,0,
放松紧绷间的忐忑结合内心里的苦涩,,,,,,,,,,0,
卸下伪装前的外壳放弃解不开的隔阂,,,,,,,,,,0,
打破局外人的规则酝酿末尾曲的时刻,,,,,,,,,,0,
日渐模糊双眼里浸湿的旧字典,,,,,,,,,,0,
面对镜子穿着旧外套把我深埋,,,,,,,,,,0,
挂在斑驳墙壁上至今的旧照片,,,,,,,,,,0,
在这黑幕覆盖旧情绪让我失眠,,,,,,,,,,0,
放松紧绷间的忐忑 结合内心里的苦涩,,,,,,,,,,0,
打破局外人的规则 酝酿末尾曲的时刻,,,,,,,,,,0,
选择习惯性的口渴喝下加点冰的可乐,,,,,,,,,,0,
放松紧绷间的忐忑结合内心里的苦涩,,,,,,,,,,0,
卸下伪装前的外壳放弃解不开的隔阂,,,,,,,,,,0,
打破局外人的规则酝酿末尾曲的时刻,,,,,,,,,,0,
未到的抱歉 此刻的五点 失重的双眼 幻想的见面,,,,,,,,,,0,
错乱的体温 炙热的台灯 紧闭的房门 追忆的过程,,,,,,,,,,0,
曾经视为牢狱间捆绑的旧手链,,,,,,,,,,0,
满是锈迹过期旧时光被我折断,,,,,,,,,,0,
压在床底铺满灰走线的旧毛毯,,,,,,,,,,0,
不再完整失去旧温度将我点燃,,,,,,,,,,0,
从最开始相遇心动闪躲的交集,,,,,,,,,,0,
紧握手心里温度犹如玩具着迷,,,,,,,,,,0,
半夜电话那头声音曾经的甜蜜,,,,,,,,,,0,
寒冷冬天相互依偎紧盖着毛衣,,,,,,,,,,0,
十指交扣身体探索不断的寻觅,,,,,,,,,,0,
开始逃避问题认为双方会珍惜,,,,,,,,,,0,
结束在最后晚餐是情感的叹息,,,,,,,,,,0,
反省问题后唯一能做就是想你,,,,,,,,,,0,
选择习惯性的口渴喝下加点冰的可乐,,,,,,,,,,0,
放松紧绷间的忐忑结合内心里的苦涩,,,,,,,,,,0,
卸下伪装前的外壳放弃解不开的隔阂,,,,,,,,,,0,
打破局外人的规则酝酿末尾曲的时刻,,,,,,,,,,0,
你对我的睥睨很早我就看在眼里,,,,,,,,,,0,
讨厌你那不懂装懂,,,,,,,,,,0,
还一脸认真的表情,,,,,,,,,,0,
你像是一只疯狗一直狂叫 一直不停,,,,,,,,,,1,
喜欢胡思乱想,,,,,,,,,,0,
还带点神话的剧情,,,,,,,,,,0,
一切淡然相处也不是没什么不行,,,,,,,,,,0,
只是你的势力你的行动让我寒心,,,,,,,,,,0,
在你的眼里我是一个不良少女,,,,,,,,,,0,
一个毫无前途没有梦想的腐烂尸体,,,,,,,,,,1,
你**就是没有骨气,,,,,,,,,,1,
没有为班级爆发的力气,,,,,,,,,,0,
看你白长一米八五浪费粮食浪费空气,,,,,,,,,,0,
胆小怕事是你的本色演绎,,,,,,,,,,0,
到处吹牛是你的家常剧集,,,,,,,,,,0,
今天我想带你看看你看不起的事情,,,,,,,,,,0,
你说我是个垃圾 没有背景 不懂自己,,,,,,,,,,0,
说我超级差劲 不够爆炸 没有阅历,,,,,,,,,,0,
现在就想告诉你 不要觉得看不起,,,,,,,,,,0,
其实任何事情任何人都有自己翻身的余地,,,,,,,,,,0,
你觉得自己了不起,,,,,,,,,,0,
对着同学的父母bibi,,,,,,,,,,1,
感觉自己不畏权势,,,,,,,,,,0,
就是合格老师的代表体,,,,,,,,,,0,
我说你不会做人 你真的别生气,,,,,,,,,,0,
我说你特别幼稚,,,,,,,,,,0,
没错 你就是个神经病,,,,,,,,,,0,
可能你会提起我这个不良少女,,,,,,,,,,0,
当个医生也真的没什么了不起,,,,,,,,,,0,
然而我所期待的事情,,,,,,,,,,0,
是医生和RAPPER的合体,,,,,,,,,,0,
就像现在这样 完爆我最尊敬的你,,,,,,,,,,0,
说唱是我的兴趣,,,,,,,,,,0,
一直努力 从不放弃,,,,,,,,,,0,
你所有的举动都是我说唱的动力,,,,,,,,,,0,
感谢你给我灵感,,,,,,,,,,0,
让我写几段词语,,,,,,,,,,0,
