腿 搁在办公桌上,,,,,,,,0
这五六分钟我只关心说唱,,,,,,,,0
大脑像硬币投进的湖里的波浪激荡,,,,,,,,0
如果你们智商170和我一样,,,,,,,,0
耳边的铃铛 晶晶亮 轻轻唱 interesting的声音记在了心上,,,,,,,,0
倒掉这鸡汤 错的路走几趟 开心难过换来换去像是在打乒乓,,,,,,,,0
叮当猫口袋里频临乓啷在响 不像一无所有的人只好拿出了抢,,,,,,,,0
bang bang 什么东西不能用道理讲 man down 谁站出来说他还有理想,,,,,,,,0
这景象 让我联想 我的思路像是蜻蜓 在飞行 听不到你演讲,,,,,,,,0
我拼命地前行 不断遇到瓶颈 全程保持清醒 时刻准备面对劲敌,,,,,,,,0
把事情办到 懒得跟你探讨 省着我的弹药 不叽叽喳喳,,,,,,,,0
嘻嘻哈哈 爸爸妈妈不喜欢嘻哈 不喜欢我说脏话,,,,,,,,0
但脏话的背后是真实的揭露 跟上这节奏和生活邂逅,,,,,,,,0
关于这个时空 维度不只时钟 做了一个梦里碰到一个神对那个秘密精通,,,,,,,,0
群居动物 韵律和音乐 所以人都会孤独 革命和鲜血,,,,,,,,0
千真万确的不千真万确 欢迎来到这个不确定的世界,,,,,,,,0
不相信这一切 是全部的一切 渴望真相的心特别炽烈,,,,,,,,0
尽管早晚 都会凋谢 尽管没有希望还是要去了解,,,,,,,,0
所有的 理由,,,,,,,,0
所有的 低头,,,,,,,,0
所有的 意犹 未尽,,,,,,,,0
所有的 垂头 丧气,,,,,,,,0
像zombie 下象棋 趁你情敌 把你将军,,,,,,,,0
所有的输赢 在刹那的决定,,,,,,,,0
所有的决定 都是注定,,,,,,,,0
所有的fans跟着伴奏 穿着yoga pants来战斗,,,,,,,,0
女孩都爱Chuck Zigga Jiang他的汗臭 XZT渐快渐慢的flow,,,,,,,,0
让你颤抖,,,,,,,,0
Hype it up hates怕 倒吸口冷气 把我们比作了2 pac and biggie,,,,,,,,0
Feezy这场休息 看场好戏 SFG在夏季的ending迎来新的胜利,,,,,,,,0
iPhone7 能防水不怕他们pussy get wetter,,,,,,,,0
我比你厉害但我不consider you any lesser,,,,,,,,0
